,author,published_at,updated_at,like_count,text
0,SuperTuxon,2018-10-21T07:59:01Z,2023-08-12T17:24:10Z,3827,"First OFFICIAL Hacker Music Video TUXYBOY Based on True events of Cheating:👉 <a href=""https://www.youtube.com/watch?v=U1E7fRxQ0dI"">https://www.youtube.com/watch?v=U1E7fRxQ0dI</a> Forsaken Caught Cheating<br>Guys, you can blame the person that cheated but, no need to trash talk about a country because someone hacked. There are cheaters in every country. I played Asia, Europe, SEA, Dubai, and Africa servers. There are stupid people, cheaters, toxic people everywhere. But, there are also good people in every country. No matter where you’re from, we belong to the human race."
1,miow,2023-09-10T03:19:00Z,2023-09-10T03:19:00Z,0,Dog mother dirty india
2,Ryan Cabili,2023-09-09T13:50:25Z,2023-09-09T13:50:25Z,0,typical
3,Maurice Kindlein,2023-09-08T08:46:19Z,2023-09-08T08:46:19Z,0,"<a href=""https://www.youtube.com/watch?v=-z-kmSF5Qxk&amp;t=0m49s"">0:49</a> lol"
4,KimWayne,2023-09-05T07:40:59Z,2023-09-05T07:40:59Z,0,Now India is known for not only scamming but also Cheating HAHAHA what a losers!
5,GenSpazz,2023-08-28T14:37:26Z,2023-08-28T14:37:26Z,0,I&#39;m not indian but why are you guys so racist lmao
6,Meehaf ://,2023-08-21T23:34:07Z,2023-08-21T23:34:07Z,0,"<a href=""https://www.youtube.com/watch?v=-z-kmSF5Qxk&amp;t=1m06s"">1:06</a> this was crazy 🤣"
7,Rosa K,2023-08-21T15:15:33Z,2023-08-21T15:15:33Z,0,&quot;Hiscareergone&quot; 😂😂
8,Philips live,2023-08-17T17:39:42Z,2023-08-17T17:39:42Z,0,"If he know what he need to do he can come to computer prepare cable to remove in good time and then remove power, or get friend who is electrican and remove power xd"
9,heinz,2023-08-14T23:28:11Z,2023-08-14T23:28:11Z,1,Indian player☕ they really often use hack on Csgo
10,TnT,2023-08-11T12:11:10Z,2023-08-11T12:11:10Z,0,Back to the slums you go you cheating mutt! Hey I’m sure you can quickly find a customer service representative job! 🤣😂
11,Lukeirin,2023-08-10T08:49:10Z,2023-08-10T08:49:10Z,0,Nice tag in description...<br>CSGO Forsaken for FAKE SAKE<br>OpTic India disqualified from eXTREMESLAND CS:GO event after the player is caught with hacks in MS Word Format.<br>How Forsaken really cheats in CS:GO by Super Tuxon<br>Cheater Cheating with hacks pewdiepie vs t series
12,Lake Toya,2023-08-08T11:45:13Z,2023-08-08T11:45:13Z,0,Bro took indian scammer to whole another level🤣🤣
13,Hideyo,2023-08-05T21:02:24Z,2023-08-05T21:02:24Z,0,Gay single handedly set back pro gaming in India by a decade.
14,Xtpk,2023-08-03T14:21:04Z,2023-08-03T14:21:04Z,0,"and the flick serve in badminton,these guys very good in cheating.isitpoenglp"
15,confuse026,2023-08-02T11:57:15Z,2023-08-02T11:57:15Z,0,And he doing this online as well an ruins every online game
16,A,2023-07-30T11:19:53Z,2023-07-30T11:19:53Z,0,"Games should be banned, stick to studies, hopefully more cheat worldwide"
17,Mixes,2023-07-29T18:04:00Z,2023-07-29T18:04:00Z,0,Watching him play his movement and aim is so garbage... How did he get to pro level lol
18,Vico Sotto,2023-07-25T01:57:54Z,2023-07-25T01:57:54Z,0,Shroud when?
19,Weakest Pakistani,2023-07-24T07:42:29Z,2023-07-24T07:42:29Z,0,Typical indians.
20,Ryan?,2023-07-22T23:11:52Z,2023-07-22T23:11:52Z,0,"He legit did his damnedest to come off like the most suspicious cheater in the history of eSports. <br><br>He acted like an actual child who just got caught looking at porn by his teacher and thought if he just closed the browser, he&#39;d be safe."
21,Misuta Howaito,2023-07-22T19:05:28Z,2023-07-22T19:05:28Z,0,song name ?
22,Limey v8312,2023-07-22T06:38:56Z,2023-07-22T06:38:56Z,0,Good job Forsaken
23,SAM MUST DIE,2023-07-18T13:10:38Z,2023-07-18T13:10:38Z,0,"Ye kaun tha jo ye chutiyap kiya? Sala Madar*<b>*</b> ko ghar mai ghus ke marunga, Indian Gaming ka name aise Madarc*** ke liye hi kharab hai. Mereko koi follower nei milta aaur jisko milta hai wo ye karta hai."
24,Marcel.,2023-07-14T08:36:56Z,2023-07-14T08:36:56Z,0,Hats off to LAN admin.
25,Peter Kim,2023-07-11T18:37:59Z,2023-07-11T18:39:11Z,2,Indians.... Ban this country on the international
26,王明轩,2023-07-11T03:55:58Z,2023-07-11T03:55:58Z,1,"It&#39;s soooooo stupid that many people feel sorry for his teammates, i mean wtf? Do you really believe the shit that his team mates never find him cheating after a long time of training together, especially most of the time he didn&#39;t even try to hide he&#39;s cheating?  There&#39;s no way to hide if they ever watched his replies for once. Cmon guys, the whole team benefits from this shit, no one is innocent."
27,Pubg Mobile,2023-07-11T01:28:57Z,2023-07-11T01:28:57Z,0,😮
28,Speed!,2023-07-10T19:02:45Z,2023-07-10T19:02:45Z,0,Why did you redeem the cheat?
29,Zuckerheck,2023-07-07T00:22:36Z,2023-07-07T00:22:36Z,1,"Wer beim Schießen in die Hocke geht, ist ein Amateur oder Cheater und kein Profi"
30,Bumble - Bee,2023-07-03T11:57:44Z,2023-07-03T11:57:44Z,1,The most powerful esports player - in solo destroyed the esports of an entire country
31,victor vereau,2023-07-02T13:12:31Z,2023-07-02T13:12:31Z,1,Que programa usaba forsaken😅
32,Saadallah Balika,2023-06-29T19:00:34Z,2023-06-29T19:00:34Z,3,Just an Indian being an Indian.
33,garby ganteng,2023-06-28T10:23:25Z,2023-06-28T10:23:25Z,0,Indonesian forsaken &gt;
34,Bang Saleem,2023-06-22T03:37:30Z,2023-06-22T03:37:30Z,1,"I saw a lot of scammers in India, but I was surprised that there were also scammers at the tournament haha"
35,Sir Gorash,2023-06-18T14:20:59Z,2023-06-18T14:20:59Z,0,This is hilarious :D
36,RAIDEN,2023-06-15T13:45:49Z,2023-06-15T13:45:49Z,0,This man just changed the way of thinking of people for indian gamers . He should be ashamed😢
37,Justin Jonker,2023-06-06T12:38:35Z,2023-06-06T12:38:35Z,0,GG on him storing in the most useless file dir lol temp naming it word lol. cuffed
38,joko kertosuro,2023-06-06T09:55:03Z,2023-06-06T09:55:03Z,3,India 🤣🤣🤣
39,Dr Plasma,2023-06-03T21:44:59Z,2023-06-03T21:44:59Z,1,"How can you be this stupid, honestly."
40,stellar,2023-06-03T04:26:42Z,2023-06-03T04:26:42Z,3,"As an Asian who playing in Indian server, Indian server is the worst server you can playing it"
41,Cavid Isayev,2023-06-01T12:34:08Z,2023-06-01T12:34:08Z,0,I think still some pro players cheating. And not detected. Sometimes I think M0nesy is hacking. His speed is inhuman sometimes. Maybe I am wrong of course but I am sure some pro players using it.
42,MondySpartan,2023-05-26T07:45:39Z,2023-05-26T07:45:39Z,0,"You cheated not only the game, but yourself.<br><br>You didn&#39;t grow.<br>You didn&#39;t improve.<br>You took a shortcut and gained nothing.<br><br>You experienced a hollow victory.<br>Nothing was risked and nothing was gained.<br><br>It&#39;s sad that you don&#39;t know the difference."
43,LP Jones,2023-05-19T19:48:03Z,2023-05-19T19:48:03Z,1,"<a href=""https://www.youtube.com/watch?v=-z-kmSF5Qxk&amp;t=2m17s"">2:17</a> to <a href=""https://www.youtube.com/watch?v=-z-kmSF5Qxk&amp;t=2m27s"">2:27</a> is legendary. “Just focus on the FOV”."
44,sTaX Relax,2023-05-19T06:14:59Z,2023-05-19T06:14:59Z,0,That&#39;s Valve&#39;s response to VAC not working
45,MADany,2023-05-18T22:35:32Z,2023-05-18T22:35:32Z,0,it&#39;s not only food that grosses game players too
46,CS:GO_MOMENT,2023-05-18T21:26:09Z,2023-05-18T21:26:09Z,0,UNLUCKY BROOO!!!
47,762459,2023-05-18T12:54:38Z,2023-05-18T12:54:38Z,2,lol pajeet
48,NUCLEO PLAYZ,2023-05-18T09:58:40Z,2023-05-18T09:58:40Z,1,Forsaken : New hack fastest headshot.<br>Shroud : Really ??
49,Viktoriya Ivanovna Serebryakov,2023-05-16T10:31:10Z,2023-05-16T10:31:55Z,0,Call is oh god of Hindu why Forsaken<br>Bin caught red handed me. Get it Forsaken 😅😅😅
50,RustyNail,2023-05-13T19:38:44Z,2023-05-13T19:38:44Z,1,Now he can go back into Call Center and Cheat there
51,Hud,2023-05-11T18:24:07Z,2023-05-11T18:24:07Z,1,"<a href=""https://www.youtube.com/watch?v=-z-kmSF5Qxk&amp;t=2m30s"">2:30</a> killing 2 people when flashed<br><br>5second later confused how the enemy can shot him behind smoke lol"
52,Mark Santiago,2023-05-10T08:24:44Z,2023-05-10T08:24:44Z,1,I think india’s gonna have a new stereotype because of this clown.
53,RAP family,2023-05-09T18:33:56Z,2023-05-09T18:33:56Z,1,Song?
54,mahămadîm zeh dwōdî vəzeh rē‘î bənwōt yərûšālāim,2023-05-07T04:59:16Z,2023-05-07T04:59:16Z,1,omg scambaiter indian
55,Hussain Raza,2023-05-07T03:09:12Z,2023-05-07T03:09:12Z,1,I THANK GOD FROM THE CORE OF MY HEART IM NOT INDIAN LMAO
56,Tit Tou,2023-05-06T14:52:36Z,2023-05-06T14:52:36Z,0,the heescareegone got me so bad :))
57,VoLtiamo,2023-05-02T18:27:37Z,2023-05-02T18:27:37Z,1,An Indian found hacking.<br><br>People: Judging the whole country on that.<br>like you guys are high or what?
58,JD,2023-04-27T06:52:17Z,2023-04-27T06:52:17Z,0,It&#39;s not even fun to cheat dude... Like there is no satisfaction in knowing where the enemies are...
59,Elite - Roblox,2023-04-24T22:51:44Z,2023-04-24T22:51:44Z,1,Fuck around and find out
60,Reza,2023-04-14T02:58:35Z,2023-04-14T02:58:35Z,0,stupid india noobs
61,Reza,2023-04-14T02:58:31Z,2023-04-14T02:58:31Z,0,stupid india noobs
62,Salman Dalvi,2023-04-09T13:46:23Z,2023-04-09T13:46:23Z,0,Pentagon hexagon hiscareergone😅😅
63,rick,2023-04-07T11:59:06Z,2023-04-07T11:59:06Z,0,I hate cheaters me who download Minecraft mod on google
64,Synical,2023-04-05T08:40:07Z,2023-04-05T08:40:07Z,0,hiscareergon LMAOOOO
65,roamer,2023-04-02T18:00:35Z,2023-04-02T18:00:35Z,1,whats the song at the end?
66,GradeY underY,2023-04-02T16:53:11Z,2023-04-02T16:53:11Z,0,back to street shitting.
67,mkDzl,2023-03-29T19:08:35Z,2023-03-29T19:08:35Z,0,Indians iq
68,Batuhan Avcı,2023-03-29T11:45:42Z,2023-03-29T11:45:42Z,0,Dumb af
69,A,2023-03-28T15:17:54Z,2023-03-28T15:17:54Z,0,Average indian hindoo == scammer/cheater/ filth
70,Aki Wong,2023-03-28T11:07:03Z,2023-03-28T11:07:03Z,0,PRXf0rsakeN ?
71,Incognitowaffle,2023-03-26T02:23:24Z,2023-03-26T02:23:24Z,0,Which version of hawa hawa is this ?
72,ケイカ異世界,2023-03-25T09:17:51Z,2023-03-25T09:17:51Z,0,不正行為は許されないけど、どうやってチートを大会まで運んだか知りたい。
