,author,published_at,updated_at,like_count,text
0,Scouter Stu,2023-09-11T03:45:59Z,2023-09-11T03:45:59Z,0,"Part of solving poverty is technological capability, discovery research it. There are few industries that haven&#39;t benifited from space research. Examples like India&#39;s argriculture research/monitorihg has signicantly improved food production."
1,Baba,2023-09-11T03:12:40Z,2023-09-11T03:12:40Z,0,"All due respect to India and ISRO but it’s no apple to apple comparison. Cost of living is different in India vs USA so obviously that’s add ups. Google ML in CA makes $500,000+ but a Google ML engineer in Hyderabad makes less than $50,000. Same goes for NASA vs ISRO engineers."
2,Airborne95,2023-09-10T23:25:02Z,2023-09-10T23:25:02Z,0,"If ISRO had a NASA-like budget, we&#39;d be landing rovers on Pluto and Charon"
3,Arjun Ghosh,2023-09-10T18:45:07Z,2023-09-10T18:45:07Z,0,"It is indo Pacific, not Asia Pacific. Informative content 👍"
4,Ravi Shah,2023-09-10T06:24:06Z,2023-09-10T06:24:06Z,0,Mark my words....Bharat(India) is going to rule the whole earth
5,Aneesh panwar,2023-09-10T02:47:07Z,2023-09-10T02:47:07Z,0,I-aa-sro... 😁😁😁....
6,Justin Justin,2023-09-09T15:25:23Z,2023-09-09T15:25:23Z,1,I&#39;m also an Indian but scientific discovery or breakthrough is not bout giving humiliation to others..
7,Hunter The Wolf YT,2023-09-09T10:56:37Z,2023-09-09T10:56:37Z,0,Who is here after Chandrayaan 3 landed sucessfully and Aditya L1 launched successfully???
8,Vikas,2023-09-09T09:02:06Z,2023-09-09T09:02:06Z,1,More than 40% of NASA Scientists are Indian&#39;s..
9,Vikas,2023-09-09T08:59:26Z,2023-09-09T09:00:16Z,2,"Budget is less, because if the mission fails the leftists blame the govt saying wastage of money.<br>If the mission will success they will give credit to cha(m)cha Nehru 😂.."
10,leviathan,2023-09-09T07:46:20Z,2023-09-09T07:46:20Z,0,It&#39;s because they paid their scientist 5 times less also and their staff is also under numbered.
11,AntiExtrimist,2023-09-09T06:22:45Z,2023-09-09T06:22:45Z,0,How to safely land on moon on a cheap budget! Tutorial out now!
12,SHRUTIK,2023-09-08T20:52:12Z,2023-09-08T20:52:12Z,0,"Fun Fact :- NASA  have above 36℅ scientists from india, america depends on indians in every field 😂"
13,Starleads,2023-09-08T19:24:01Z,2023-09-08T19:24:01Z,0,"As an Indian, we never humiliates NASA. We admire every other persons work."
14,manoj rawat,2023-09-08T03:37:36Z,2023-09-08T03:37:36Z,1,"well but nasa is million ahead from our space agency ISRO, This comparison like Elephant (INDIA) and dinosaurs(USA). Suerly ISRO and NASA will lead humanity. I love my ISRO but admire NASA space work."
15,Jakir Hossain,2023-09-07T21:53:30Z,2023-09-07T21:53:30Z,0,The moon is going to Smell like curry 😂
16,Mohamed Aadil,2023-09-06T04:46:24Z,2023-09-06T04:49:15Z,1,"Well, India&#39;s first landing mission on Moon doesn&#39;t humiliates NASA.. Well NASA has sent many rovers to Moon and Mars long ago, and even 100+ satellites within and beyond the Solar System also the Hubble and JWST telescopes. Well indeed Congrats for India&#39;s big step for a growing nation! But seriously you can&#39;t compare that to NASA&#39;s achievement.  India is just starting it Space exploration. <br>With a budget of 1.52 Billion India was able to achieve this compare to NASA&#39;s budget<br>With just 0.48% of USA&#39;s budget (24 Billion USD) they are operating the International Space Station and well other countless mission it&#39;s literally out of lists....<br><br><br>NASA landed on moon in 1969 with a toll budget of 28 Billion, that was 54 YEARS AGO!! With technology of those days.<br>Indian landing a rover after NASA 54 years after with advanced technology and less budget.. THIS TOPIC DOSENT MAKE ABSOLUTE SENSE."
17,toonedin,2023-09-05T19:56:52Z,2023-09-05T19:56:52Z,1,It is a speakable acronym -- Is Ro -- not eye ess are oh!
18,Figure,2023-09-04T19:50:24Z,2023-09-04T19:50:24Z,0,The true global superpower here is our mother India it doesn&#39;t matter about the failure as they are just the stairs to success eventually everyone will understand god bless you India and good luck chandaryaan 3 🇮🇳🇮🇳🪙🌑
19,this&that 333,2023-09-04T12:33:02Z,2023-09-04T12:33:02Z,0,Now u know well that  India is much more smarter😂👍
20,Goingthrumotions,2023-09-04T00:00:30Z,2023-09-04T00:00:30Z,1,I’m proud of what india did. But theirs a huge difference in salaries in both countries and the other stuff.
21,Ashish Thomas,2023-09-03T19:02:29Z,2023-09-03T19:02:29Z,0,Paying cheap your employees makes a difference
22,Bengal Devil Badger,2023-09-03T15:29:41Z,2023-09-03T15:29:41Z,1,No body is humiliating anyone....We r doing with whatever we have...We intend to contribute to human development...Jai Ma Bharati 💪🇮🇳
23,Gaurav,2023-09-03T15:20:54Z,2023-09-03T15:20:54Z,1,"Indian would be much ahead in space if CIA didn&#39;t kill and destroyed our popular scientists, they were scared India will take away their dominance and business being economical option of US. US most shameless country and they claims to be developed but their carpet there&#39;s only blood."
24,almighty,2023-09-03T14:25:16Z,2023-09-03T14:25:16Z,1,"Man ,<br>Although this video is 2 years Old<br>But still relatable than ever after their chandryana-3 &amp; audit L1"
25,Ajay Chidambaram,2023-09-03T10:53:57Z,2023-09-03T10:54:16Z,0,With the funding NASA had they should have developed nuclear rockets and sent a probe to Alpha Centauri.. sadly they are stuck with most of the work in LEO.. with some 1 or 2 projects to mars or outer planets..
26,maxxy sitlhou,2023-09-03T03:24:33Z,2023-09-03T03:24:33Z,0,And you can&#39;t say it is a hoax or it is cgi animated because just look at the cgi in bollywood
27,malayan tiger,2023-09-03T02:51:18Z,2023-09-03T02:51:18Z,1,Is there success rate comparison between NASA abd ISRO?
